Epoch,Val Loss,Val Accuracy,Precision,Recall,F1-Score,ROC AUC
1,0.6938201668785839,0.4963573619631902,0.4963573619631902,1.0,0.6634208840486867,0.5
4,0.693345061162623,0.5036426380368099,0.0,0.0,0.0,0.5
5,0.6931206046081171,0.5036426380368099,0.0,0.0,0.0,0.5
10,0.6931199460494809,0.4963573619631902,0.4963573619631902,1.0,0.6634208840486867,0.5
11,0.693114178936656,0.5036426380368099,0.0,0.0,0.0,0.5
15,0.6931005105739687,0.4940567484662577,0.49498997995991983,0.9540363074546157,0.6518010291595198,0.49738358958570145
16,0.6930726039700392,0.4929064417177914,0.4944510503369005,0.9636925453843183,0.6535690897184021,0.496311442086906
21,0.6928525261762666,0.49348159509202455,0.4947326575233552,0.9613750482811897,0.6532808398950132,0.49686567412156174
23,0.6928516815348369,0.4906058282208589,0.493351583887368,0.9745075318655851,0.6550694534596909,0.49410568827767265
27,0.692756431858714,0.4942484662576687,0.4952288218111003,0.9822325222093472,0.658467115484205,0.497777852273307
31,0.6900191714123982,0.6182898773006135,0.5738636363636364,0.8972576284279644,0.7000150670483651,0.6203075351884778
34,0.6890141149846519,0.5325920245398773,0.5155509783728115,0.9667825415218231,0.6724879097259537,0.5357323442287456
35,0.6872884980062159,0.6180981595092024,0.7276887871853547,0.3684820393974508,0.48923076923076925,0.6162927897786645
36,0.6827274662692372,0.6759969325153374,0.741796664873588,0.5326380842023948,0.6200539568345323,0.6749600775027962
37,0.6819852125353929,0.6437883435582822,0.7631389488840893,0.4094244882193897,0.5329311211664153,0.6420932871245407
38,0.6759380770892631,0.6345858895705522,0.7396491228070176,0.4071069911162611,0.5251619332336821,0.6329406291706162
39,0.6716940519286365,0.6399539877300614,0.7494736842105263,0.41251448435689453,0.5321375186846038,0.6383090122583863
40,0.6636145652794256,0.6792561349693251,0.7152255639097744,0.5878717651602936,0.6453254186983253,0.6785951897746653
42,0.6545684715596641,0.6807898773006135,0.7177191328934966,0.5882580146774816,0.6465718531097432,0.680120632766986
43,0.654362067943666,0.6754217791411042,0.7711864406779662,0.4920818848976439,0.6008016977128036,0.6740957578275809
45,0.6424050709096397,0.6781058282208589,0.7102587800369686,0.5936655079181151,0.6467494214180519,0.677495106452396
46,0.6388783178678373,0.6781058282208589,0.7015057573073517,0.6118192352259559,0.6536001650505466,0.677626404822723
47,0.6365585210846691,0.6773389570552147,0.6921119592875318,0.6303592120509849,0.6597938144329897,0.6769991720704106
48,0.6359628526175894,0.6836656441717791,0.7533729087965462,0.5392043259945926,0.6285457001350744,0.6826208154525684
49,0.6342936172717955,0.6836656441717791,0.7525551371705218,0.5403630745461568,0.6290467625899281,0.6826291961996107
50,0.6326975502618929,0.6846242331288344,0.7543103448275862,0.540749324063345,0.6299212598425197,0.6835836456631913
51,0.6308360768527519,0.6844325153374233,0.7490755414685684,0.5477018153727308,0.6327532351628736,0.6834435989691976
52,0.6282636276105555,0.6863496932515337,0.74077817079333,0.5662417921977597,0.6418563922942206,0.6854810026843385
58,0.6246842276759264,0.683282208588957,0.7215130023640662,0.589416763229046,0.6488095238095238,0.6826033188052348
